CLIENTNUM,true_churn,score_churn,pred_label
768805383,0,0.0,0
818770008,0,0.0,0
713982108,0,0.035,0
769911858,0,0.025,0
709106358,0,0.07,0
713061558,0,0.015,0
810347208,0,0.0175,0
818906208,0,0.07,0
710930508,0,0.01,0
719661558,0,0.0025,0
708790833,0,0.015,0
710821833,0,0.0,0
710599683,0,0.07,0
816082233,0,0.0025,0
712396908,0,0.03,0
714885258,0,0.0075,0
709967358,0,0.005,0
753327333,0,0.0175,0
806160108,0,0.07,0
709327383,0,0.0175,0
806165208,0,0.005,0
708508758,1,0.8875,1
784725333,0,0.0475,0
811604133,0,0.065,0
789124683,0,0.0675,0
771071958,0,0.04,0
720466383,0,0.005,0
804424383,0,0.015,0
718813833,0,0.0825,0
806624208,0,0.025,0
778348233,0,0.03,0
712991808,0,0.0275,0
709029408,0,0.0075,0
788658483,0,0.0,0
787937058,0,0.005,0
715318008,0,0.05,0
713962233,0,0.005,0
785432733,0,0.2725,0
715190283,0,0.0625,0
708300483,1,0.84,1
827111283,0,0.2225,0
758551608,0,0.0025,0
773146383,0,0.025,0
778493808,0,0.0275,0
720572508,0,0.1175,0
712661433,0,0.06,0
789172683,0,0.005,0
738406533,0,0.0,0
799723908,0,0.0125,0
771490833,0,0.0125,0
720756708,0,0.0075,0
779471883,1,0.7825,1
711525033,0,0.01,0
712813458,0,0.0475,0
714374133,1,0.9425,1
717891558,0,0.0325,0
716632758,0,0.14,0
768563658,0,0.0,0
711427458,0,0.0025,0
714091983,0,0.0125,0
787584108,0,0.01,0
712030833,1,0.9275,1
711481533,0,0.0075,0
710082708,0,0.095,0
708155733,0,0.0125,0
788979258,0,0.01,0
807986133,0,0.0025,0
788730933,0,0.045,0
711314058,0,0.0625,0
717975333,0,0.095,0
715971108,0,0.01,0
720096558,0,0.05,0
719580033,0,0.04,0
820582308,0,0.0275,0
789973308,0,0.0125,0
712876233,0,0.0075,0
804595158,0,0.0375,0
714826758,0,0.0325,0
779058108,0,0.0175,0
710790258,0,0.005,0
715623483,0,0.0,0
715156383,0,0.025,0
711013983,1,0.9375,1
755420433,0,0.155,0
794543958,0,0.005,0
716396358,0,0.0,0
715398033,0,0.0025,0
711743883,0,0.175,0
719720058,0,0.015,0
778992108,0,0.0275,0
717539808,0,0.085,0
714070758,0,0.0,0
714107958,0,0.1625,0
789140283,0,0.0125,0
715550508,0,0.0225,0
719712633,0,0.0175,0
772629333,0,0.02,0
720336708,0,0.03,0
802013583,0,0.015,0
711887583,1,0.9525,1
714778833,0,0.01,0
713843283,0,0.025,0
779155158,0,0.0025,0
721091583,0,0.04,0
713572683,0,0.13,0
716657058,0,0.2075,0
779509983,0,0.025,0
717929133,0,0.0175,0
808284783,0,0.1,0
708476808,0,0.02,0
710916408,0,0.0225,0
708492558,0,0.035,0
799825758,0,0.0125,0
718619883,0,0.0525,0
711844758,0,0.0,0
714798783,0,0.01,0
826762908,0,0.0225,0
771894558,0,0.005,0
721074183,0,0.0375,0
715259583,0,0.0075,0
718414008,0,0.0775,0
719666283,0,0.0075,0
714877233,0,0.0025,0
785387883,0,0.0425,0
771075258,0,0.1975,0
711318033,0,0.1125,0
783554958,0,0.065,0
720201033,1,0.8125,1
718039683,0,0.0025,0
710806083,0,0.01,0
714752208,0,0.0825,0
822063408,0,0.02,0
714490308,0,0.0,0
713356833,0,0.04,0
711402333,0,0.155,0
708296883,0,0.0225,0
719154483,0,0.03,0
717721458,0,0.0075,0
711112683,0,0.0125,0
715674483,0,0.0525,0
789322833,1,0.93,1
789968058,0,0.055,0
709919283,0,0.0375,0
718744008,0,0.055,0
767712558,1,0.885,1
712950783,1,0.9725,1
716104983,0,0.035,0
818839983,0,0.0025,0
772288758,0,0.005,0
712350858,0,0.0125,0
711009708,0,0.0825,0
712720158,0,0.0025,0
712215258,0,0.2475,0
773827008,0,0.0125,0
795232683,0,0.005,0
713786508,0,0.2275,0
713539833,0,0.0575,0
712454058,0,0.0225,0
718759833,0,0.0375,0
718803333,0,0.14,0
720253908,0,0.0075,0
714133158,0,0.185,0
713187033,0,0.0,0
714791208,0,0.1225,0
772426383,0,0.005,0
710975883,0,0.0525,0
714264408,0,0.0375,0
715827858,0,0.0075,0
713741358,1,0.7775,1
709531908,0,0.1875,0
716493408,0,0.02,0
714141108,0,0.0125,0
708953883,1,0.94,1
712608783,0,0.005,0
820353558,0,0.0125,0
714964758,0,0.01,0
716264358,0,0.07,0
717296808,0,0.01,0
712977183,0,0.0025,0
710829108,0,0.0825,0
779562633,0,0.0225,0
715315833,0,0.01,0
815500983,0,0.0025,0
719360583,0,0.0025,0
709701558,0,0.0525,0
721148358,0,0.1675,0
779862408,0,0.0575,0
812627208,0,0.0625,0
711033408,0,0.0025,0
779956608,0,0.05,0
780376683,0,0.0025,0
717912483,0,0.07,0
714454758,0,0.0025,0
780466533,0,0.0175,0
715735233,0,0.005,0
720476733,0,0.15,0
715872333,0,0.02,0
712375758,0,0.0,0
708868233,1,0.7675,1
718030083,0,0.0,0
720707283,0,0.0075,0
771698658,0,0.0125,0
748326258,0,0.0325,0
770817783,0,0.0525,0
779353083,0,0.01,0
711441333,0,0.0175,0
719808558,1,0.9775,1
711551958,1,0.9425,1
809164083,0,0.035,0
820596183,0,0.1075,0
715999608,0,0.0025,0
710565408,0,0.035,0
805543158,0,0.005,0
709752183,0,0.0175,0
716479233,0,0.015,0
713837058,0,0.0325,0
718876683,0,0.02,0
770746908,0,0.0025,0
794843883,0,0.005,0
803043933,0,0.0125,0
758076408,0,0.1,0
714606558,0,0.0075,0
778425408,0,0.0175,0
714171108,0,0.035,0
719662458,0,0.0525,0
713137233,0,0.02,0
769425858,0,0.075,0
711297483,0,0.0775,0
788900883,0,0.0225,0
758348808,0,0.0175,0
772336458,1,0.75,1
708711483,0,0.035,0
717906783,0,0.0,0
719437908,0,0.0,0
769433508,0,0.045,0
790096533,0,0.005,0
720997383,1,0.855,1
787541883,0,0.255,0
709930758,0,0.0125,0
789830058,0,0.0,0
710299608,1,0.8125,1
710741208,0,0.0425,0
821797008,1,0.8925,1
708874533,1,0.93,1
715341858,0,0.005,0
793636308,0,0.13,0
713779908,0,0.095,0
712125258,1,0.8775,1
709703433,0,0.0025,0
721022433,0,0.05,0
710103558,0,0.005,0
715952883,0,0.005,0
719731458,0,0.04,0
772390908,1,0.8925,1
787348608,0,0.0375,0
709485033,0,0.005,0
715432608,0,0.005,0
799471833,0,0.01,0
714187533,0,0.1375,0
779656908,0,0.0025,0
788950158,0,0.0725,0
778867533,1,0.9275,1
710620383,0,0.065,0
778661358,0,0.085,0
789483333,0,0.015,0
809855808,0,0.01,0
718464258,0,0.0875,0
708528483,0,0.0375,0
771809733,1,0.9075,1
719942883,0,0.0225,0
807226683,0,0.02,0
717806133,0,0.035,0
720615708,0,0.07,0
714511758,0,0.01,0
715050408,0,0.0775,0
721132233,0,0.0975,0
719211558,1,0.865,1
712069008,0,0.02,0
715996983,0,0.005,0
773466258,0,0.0125,0
798983508,0,0.0,0
719117433,0,0.0175,0
