feature,importance
Attrition_Flag_Existing Customer,0.38373513660070246
Attrition_Flag_Attrited Customer,0.36110195068177564
Total_Trans_Ct,0.06654807845948152
Total_Trans_Amt,0.06065474203468085
Total_Ct_Chng_Q4_Q1,0.029788581677580563
Total_Revolving_Bal,0.029350645934554716
Avg_Utilization_Ratio,0.018579488519304754
Total_Amt_Chng_Q4_Q1,0.010089902959279981
Months_Inactive_12_mon,0.007778524275887379
Total_Relationship_Count,0.007384960136769899
Contacts_Count_12_mon,0.005771926589650845
Avg_Open_To_Buy,0.005012448134926415
Credit_Limit,0.00427757277863671
Customer_Age,0.0022264477327213375
Months_on_book,0.001553353517266572
CLIENTNUM,0.0014626919521769767
Gender_F,0.0009406499322661634
Dependent_count,0.000678920670110307
Gender_M,0.0005833519657765763
Marital_Status_Married,0.0003841333166844434
Marital_Status_Single,0.00024238937747556944
Income_Category_$80K - $120K,0.00021533967648515781
Income_Category_$60K - $80K,0.00016389753715687622
Income_Category_Less than $40K,0.00014572757984060187
Education_Level_Post-Graduate,0.00012005691474750034
Education_Level_Graduate,0.0001172898215668047
Education_Level_High School,0.00010845921737393764
Card_Category_Blue,0.00010607560531717395
Income_Category_Unknown,9.979295642156983e-05
Education_Level_Unknown,9.977246515554298e-05
Income_Category_$120K +,9.662090253239663e-05
Education_Level_Uneducated,9.18694146486302e-05
Income_Category_$40K - $60K,8.962037628174257e-05
Education_Level_College,8.699186400393327e-05
Marital_Status_Unknown,8.20835653113503e-05
Education_Level_Doctorate,6.865401675674424e-05
Card_Category_Silver,6.043320189857233e-05
Marital_Status_Divorced,4.9389828147711815e-05
Card_Category_Gold,4.237973942572773e-05
Card_Category_Platinum,9.648069218358396e-06
